county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,8262.01,17,99999,IL,Cook IL, , , ,172,0.0478
17031,8279.01,17,99999,IL,Cook IL, , , ,5,0.0019
17031,8282.01,17,99999,IL,Cook IL, , , ,373,0.0869
17031,8282.02,17,99999,IL,Cook IL, , , ,159,0.0347
17031,8283.00,17,99999,IL,Cook IL, , , ,56,0.0172
17031,8285.03,17,99999,IL,Cook IL, , , ,27,0.0058
17031,8285.04,17,99999,IL,Cook IL, , , ,200,0.0335
17031,8285.05,17,99999,IL,Cook IL, , , ,205,0.0319
17031,8285.06,17,99999,IL,Cook IL, , , ,557,0.0652
17031,8286.01,17,99999,IL,Cook IL, , , ,69,0.0165
17031,8287.01,17,99999,IL,Cook IL, , , ,105,0.0258
17031,8287.02,17,99999,IL,Cook IL, , , ,99,0.0201
17031,8288.02,17,99999,IL,Cook IL, , , ,167,0.055
17031,8293.01,17,99999,IL,Cook IL, , , ,179,0.045
17031,8293.02,17,99999,IL,Cook IL, , , ,137,0.0344
17031,8294.02,17,99999,IL,Cook IL, , , ,10,0.003
17031,8295.00,17,99999,IL,Cook IL, , , ,10,0.0024
17031,8297.00,17,99999,IL,Cook IL, , , ,35,0.008
17031,8299.01,17,99999,IL,Cook IL, , , ,99,0.0113
17031,8299.02,17,99999,IL,Cook IL, , , ,353,0.0557
17031,8300.01,17,99999,IL,Cook IL, , , ,1251,0.5943
17031,8300.03,17,99999,IL,Cook IL, , , ,25,0.0031
17031,8300.04,17,99999,IL,Cook IL, , , ,502,0.0694
17031,8300.05,17,99999,IL,Cook IL, , , ,3,0.0008
17031,8300.06,17,99999,IL,Cook IL, , , ,23,0.0092
17031,8300.07,17,99999,IL,Cook IL, , , ,183,0.0363
17031,8300.08,17,99999,IL,Cook IL, , , ,98,0.0216
17031,8232.00,17,1010,IL,Cook IL, , ,"Alsip village, IL",4381,0.8983
17031,8233.02,17,1010,IL,Cook IL, , ,"Alsip village, IL",5788,0.999
17031,8233.03,17,1010,IL,Cook IL, , ,"Alsip village, IL",4519,1
17031,8233.04,17,1010,IL,Cook IL, , ,"Alsip village, IL",2907,0.4905
17031,8234.00,17,1010,IL,Cook IL, , ,"Alsip village, IL",429,0.0849
17031,8236.05,17,1010,IL,Cook IL, , ,"Alsip village, IL",1253,0.2756
17031,8026.08,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",2939,0.4698
17031,8028.01,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",4242,0.885
17031,8029.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",5846,0.9615
17031,8030.05,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",2014,0.7586
17031,8030.07,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",3299,0.6287
17031,8030.08,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",4712,1
17031,8030.10,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",2361,0.4544
17031,8030.12,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",1101,0.4957
17031,8030.15,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",1950,0.4373
17031,8030.16,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",1979,1
17031,8030.17,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",4073,0.6723
17031,8031.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",3440,1
17031,8032.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",5586,1
17031,8033.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",5543,1
17031,8034.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",6384,1
17031,8035.00,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",5686,0.9782
17031,8036.12,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",709,0.2005
17031,8039.01,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",25,0.0072
17031,8051.06,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",2718,1
17031,8051.07,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",3400,0.5263
17031,8051.08,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",1412,0.2108
17031,8051.09,17,2154,IL,Cook IL, , ,"Arlington Heights village, IL",2646,0.607
