"city","month","day","year","cases","weekly_case_rate_per_100k","total_with_at_least_one_vaccine_dose","percent_with_at_least_one_vaccine_dose","total_with_complete_vaccine_series","percent_with_complete_vaccine_series","date","pct_complete_vax","pct_first_vax"
"Country Club Hills","05","02","2021","31","187","6111","36.9","4721","28.5",2021-05-02,0.285,0.369
"Countryside","05","02","2021","7","119","3056","51.8","2297","39",2021-05-02,0.39,0.518
"Crestwood","05","02","2021","7","64","4845","44.2","3727","34",2021-05-02,0.34,0.442
"Des Plaines","05","02","2021","102","175","45387","77.8","33433","57.3",2021-05-02,0.573,0.778
"Dixmoor","05","02","2021",NA,NA,"446","12.2","314","8.6",2021-05-02,0.086,0.122
"Dolton","05","02","2021","45","194","6722","29","4953","21.4",2021-05-02,0.214,0.29
"East Hazel Crest","05","02","2021",NA,NA,"462","29.9","359","23.3",2021-05-02,0.233,0.299
"Elgin","05","02","2021","40","166","11213","46.7","7613","31.7",2021-05-02,0.317,0.467
"Elk Grove Village","05","02","2021","33","100","18766","56.6","14851","44.8",2021-05-02,0.448,0.566
"Elmwood Park","05","02","2021","34","137","10664","42.9","7995","32.1",2021-05-02,0.321,0.429
"Evergreen Park","05","02","2021","16","81","8935","45","6910","34.8",2021-05-02,0.348,0.45
"Flossmoor","05","02","2021","13","137","5410","57.2","4433","46.8",2021-05-02,0.468,0.572
"Ford Heights","05","02","2021","5","181","405","14.7","239","8.7",2021-05-02,0.087,0.147
"Forest Park","05","02","2021","11","78","7846","55.4","6071","42.9",2021-05-02,0.429,0.554
"Franklin Park","05","02","2021","21","115","8181","44.6","5869","32",2021-05-02,0.32,0.446
"Glencoe","05","02","2021",NA,NA,"5284","60.6","4269","48.9",2021-05-02,0.489,0.606
"Glenview","05","02","2021","28","63","32899","73.6","25999","58.2",2021-05-02,0.582,0.736
"Glenwood","05","02","2021","9","100","3493","38.9","2759","30.8",2021-05-02,0.308,0.389
"Golf","05","02","2021","0","0","237","47.4","181","36.2",2021-05-02,0.362,0.474
"Hanover Park","05","02","2021","16","78","8691","42.1","5189","25.1",2021-05-02,0.251,0.421
"Harvey","05","02","2021","35","138","5746","22.7","3910","15.5",2021-05-02,0.155,0.227
"Harwood Heights","05","02","2021","12","139","3410","39.6","2514","29.2",2021-05-02,0.292,0.396
"Hazel Crest","05","02","2021","11","78","4731","33.6","3614","25.6",2021-05-02,0.256,0.336
"Hickory Hills","05","02","2021","17","121","5432","38.7","4030","28.7",2021-05-02,0.287,0.387
"Hillside","05","02","2021","15","184","3810","46.7","2943","36.1",2021-05-02,0.361,0.467
"Hinsdale","05","02","2021",NA,NA,"1167","52.4","892","40.1",2021-05-02,0.401,0.524
"Hodgkins","05","02","2021","0","0","680","35.8","497","26.2",2021-05-02,0.262,0.358
"Hoffman Estates","05","02","2021","49","94","28421","54.8","20757","40",2021-05-02,0.4,0.548
"Hometown","05","02","2021",NA,NA,"1806","41.5","1354","31.1",2021-05-02,0.311,0.415
"Homewood","05","02","2021","25","129","9900","51.2","7914","41",2021-05-02,0.41,0.512
"Indian Head Park","05","02","2021","8","210","2271","59.6","1908","50.1",2021-05-02,0.501,0.596
"Inverness","05","02","2021",NA,NA,"4491","60.7","3565","48.2",2021-05-02,0.482,0.607
"Justice","05","02","2021","23","178","3998","30.9","2700","20.9",2021-05-02,0.209,0.309
"Kenilworth","05","02","2021",NA,NA,"1437","57.2","1092","43.5",2021-05-02,0.435,0.572
"La Grange","05","02","2021","19","122","11945","76.8","9355","60.2",2021-05-02,0.602,0.768
"La Grange Park","05","02","2021","18","133","7810","57.5","6320","46.5",2021-05-02,0.465,0.575
"Lansing","05","02","2021","43","152","10081","35.6","7549","26.6",2021-05-02,0.266,0.356
