GEOID,NAME,tract,county,total_workers,essential,nonessential,conman,food,health,protection,socialservices,transport,total_pop,nonwhite_pct,pov_pct,hh_inc_med
17031610400,"Census Tract 6104, Cook County, Illinois",6104,Cook,796,0.6947236181,0.3052763819,0.3567839196,0.1243718593,0.04271356784,0.0175879397,0,0.1532663317,1981,0.983,0.419,35804
17031610800,"Census Tract 6108, Cook County, Illinois",6108,Cook,763,0.5098296199,0.4901703801,0.1769331586,0.02883355177,0.120576671,0.03014416776,0.02096985583,0.1323722149,1509,0.368,0.076,49250
17031611000,"Census Tract 6110, Cook County, Illinois",6110,Cook,242,0.5247933884,0.4752066116,0.2644628099,0.09090909091,0.04132231405,0.03719008264,0.04545454545,0.04545454545,891,0.962,0.466,19661
17031611100,"Census Tract 6111, Cook County, Illinois",6111,Cook,842,0.6864608076,0.3135391924,0.3812351544,0.1211401425,0.03562945368,0.02375296912,0.01781472684,0.106888361,2326,0.931,0.336,25464
17031611200,"Census Tract 6112, Cook County, Illinois",6112,Cook,874,0.7654462243,0.2345537757,0.4485125858,0.06979405034,0.06979405034,0.004576659039,0,0.1727688787,2496,0.914,0.362,28212
17031611300,"Census Tract 6113, Cook County, Illinois",6113,Cook,914,0.6728665208,0.3271334792,0.4102844639,0.06892778993,0.03501094092,0,0.003282275711,0.1553610503,2521,0.95,0.258,26847
17031611400,"Census Tract 6114, Cook County, Illinois",6114,Cook,1301,0.7440430438,0.2559569562,0.4058416603,0.1529592621,0,0,0.01537279016,0.1698693313,3060,0.972,0.355,32071
17031611500,"Census Tract 6115, Cook County, Illinois",6115,Cook,1189,0.8074011775,0.1925988225,0.4608915055,0.08326324643,0.03616484441,0.01682085786,0.02270815812,0.1875525652,3362,0.958,0.381,35330
17031611600,"Census Tract 6116, Cook County, Illinois",6116,Cook,600,0.825,0.175,0.5116666667,0.09,0.11,0,0,0.1133333333,1608,0.978,0.225,32031
17031611700,"Census Tract 6117, Cook County, Illinois",6117,Cook,552,0.6739130435,0.3260869565,0.3025362319,0.1576086957,0.04347826087,0.02355072464,0.007246376812,0.1394927536,1706,1,0.45,25729
17031611800,"Census Tract 6118, Cook County, Illinois",6118,Cook,1002,0.7195608782,0.2804391218,0.3053892216,0.08682634731,0.03493013972,0.05189620758,0.06387225549,0.1766467066,2390,0.984,0.225,34333
17031611900,"Census Tract 6119, Cook County, Illinois",6119,Cook,557,0.6588868941,0.3411131059,0.3070017953,0.05385996409,0.08258527828,0.07360861759,0.03411131059,0.1077199282,1729,0.986,0.425,25321
17031612000,"Census Tract 6120, Cook County, Illinois",6120,Cook,455,0.6307692308,0.3692307692,0.1758241758,0.08351648352,0.1010989011,0.05934065934,0.01978021978,0.1912087912,1373,0.974,0.165,30121
17031612100,"Census Tract 6121, Cook County, Illinois",6121,Cook,318,0.6855345912,0.3144654088,0.141509434,0.1761006289,0.1949685535,0.03773584906,0.05660377358,0.0786163522,1042,0.982,0.249,24900
17031620100,"Census Tract 6201, Cook County, Illinois",6201,Cook,2086,0.552253116,0.447746884,0.322147651,0.1030680729,0.03451581975,0.01486097795,0,0.07766059444,4819,0.913,0.137,56339
17031620200,"Census Tract 6202, Cook County, Illinois",6202,Cook,1146,0.6457242583,0.3542757417,0.3743455497,0.07591623037,0.05497382199,0.03054101222,0.006108202443,0.1038394415,2230,0.743,0.075,51333
